entry_time,exit_time,direction,pnl_spread_units
2025-01-09,2025-01-21,LONG_SPREAD,34.30847049625834
2025-01-27,2025-02-04,LONG_SPREAD,16.485615823623448
2025-02-28,2025-03-11,SHORT_SPREAD,52.33659682477776
2025-03-19,2025-03-25,LONG_SPREAD,16.52479040112746
2025-04-29,2025-05-09,LONG_SPREAD,19.49383281593566
2025-05-15,2025-06-04,LONG_SPREAD,17.6493166734914
2025-06-10,2025-06-13,SHORT_SPREAD,18.724350021605687
2025-06-25,2025-07-14,SHORT_SPREAD,-14.123051074376122
2025-08-11,2025-08-19,SHORT_SPREAD,9.873383528023396
2025-09-01,2025-09-05,LONG_SPREAD,18.642193202221733
